City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
353,Birjand,IR,32.87,59.22,44.6,13,0,2.8,clear sky
354,Bernalillo,US,35.05,-106.67,43.0,38,75,10.29,broken clouds
355,Touros,BR,-5.2,-35.46,73.4,88,75,6.93,broken clouds
356,Mezen,RU,65.85,44.24,4.05,91,100,8.34,overcast clouds
357,Hualmay,PE,-11.1,-77.61,68.54,85,90,7.76,overcast clouds
358,Bogatic,RS,44.84,19.48,44.6,75,0,9.17,clear sky
359,Salta,AR,-24.79,-65.41,68.0,88,90,10.29,light rain
360,Zhigalovo,RU,54.81,105.16,-24.99,81,61,0.56,broken clouds
361,Yashan,CN,22.2,109.94,74.1,63,100,3.22,overcast clouds
362,New Richmond,US,45.12,-92.54,-4.0,83,1,2.17,clear sky
363,Paamiut,GL,61.99,-49.67,27.32,94,100,15.95,overcast clouds
364,Mehamn,NO,71.04,27.85,30.2,68,0,16.11,clear sky
365,Hay River,CA,60.82,-115.8,-2.2,84,30,1.12,scattered clouds
366,Sorland,NO,67.67,12.69,41.0,70,0,23.04,clear sky
367,Nouadhibou,MR,20.93,-17.03,64.4,93,20,8.05,few clouds
368,Moron,AR,-34.65,-58.62,75.99,93,100,1.99,overcast clouds
369,Cosala,MX,24.41,-106.69,57.99,99,0,1.99,clear sky
370,Maumere,ID,-8.62,122.21,80.94,84,100,8.63,light rain
371,Denpasar,ID,-8.65,115.22,84.2,79,40,12.75,scattered clouds
372,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,3.2,71,100,2.24,overcast clouds
373,Sueyoshi,JP,31.65,131.02,64.4,67,75,6.93,broken clouds
374,Qaqortoq,GL,60.72,-46.03,16.7,91,1,5.12,clear sky
375,Alekseyevsk,RU,57.84,108.35,-22.47,83,100,5.26,overcast clouds
376,Rabo De Peixe,PT,37.8,-25.58,53.6,81,75,9.17,broken clouds
377,Filingue,NE,14.35,3.32,70.21,22,0,10.76,clear sky
378,Cayenne,GF,4.93,-52.33,73.4,100,20,6.58,few clouds
379,Buala,SB,-8.14,159.59,81.73,74,100,1.43,overcast clouds
380,Agadir,MA,30.42,-9.6,51.8,93,90,8.05,overcast clouds
381,Jieshi,CN,22.81,115.83,78.01,62,0,1.01,clear sky
382,Umea,SE,63.83,20.26,33.8,95,90,12.75,snow
383,Fare,PF,-16.7,-151.02,81.95,71,79,9.42,broken clouds
384,Atar,MR,20.52,-13.05,71.06,37,91,2.26,overcast clouds
385,Aykhal,RU,66.0,111.5,-14.8,75,90,13.42,light snow
386,Kisanga,TZ,-7.44,37.7,88.77,59,99,2.13,overcast clouds
387,Cedral,MX,23.8,-100.73,47.84,72,0,12.48,clear sky
388,Dauphin,CA,51.15,-100.05,15.12,93,100,6.67,overcast clouds
389,Richards Bay,ZA,-28.78,32.04,88.07,55,0,12.15,clear sky
390,Lompoc,US,34.64,-120.46,44.6,93,1,3.36,clear sky
391,Bilibino,RU,68.05,166.44,-18.71,78,79,1.86,broken clouds
392,Solnechnyy,RU,50.72,136.63,-17.36,83,18,3.96,few clouds
393,Katobu,ID,-4.94,122.53,80.64,81,100,5.61,moderate rain
394,Pathein,MM,16.78,94.73,90.21,42,0,5.88,clear sky
395,Tiksi,RU,71.69,128.87,-8.5,90,96,4.29,overcast clouds
396,Nikolayevka,RU,53.13,47.2,9.36,95,86,3.76,overcast clouds
397,Tarata,BO,-17.62,-66.02,54.14,79,100,1.3,overcast clouds
398,Yala,TH,6.33,101.25,89.6,55,20,8.05,few clouds
399,Moree,AU,-29.47,149.85,78.8,65,75,5.82,light rain
400,Mocuba,MZ,-16.84,36.99,91.18,50,96,3.96,overcast clouds
401,Altos,BR,-5.04,-42.46,77.0,83,0,4.7,clear sky
402,Deputatskiy,RU,69.3,139.9,-25.19,87,70,3.42,broken clouds
403,Garissa,KE,-0.45,39.64,86.43,54,64,8.16,broken clouds
404,Slyudyanka,RU,51.66,103.71,-0.99,80,33,2.64,scattered clouds
405,Turochak,RU,52.26,87.12,8.53,89,72,3.22,broken clouds
406,Ostrovnoy,RU,68.05,39.51,19.06,93,100,15.1,overcast clouds
407,Landeck,AT,47.13,10.56,23.0,92,5,9.17,clear sky
408,Whitehorse,CA,60.72,-135.05,21.2,85,90,16.11,light snow
409,Labuhan,ID,-6.88,112.21,82.42,82,94,13.91,light rain
410,Nola,IT,40.92,14.53,48.0,81,75,5.82,broken clouds
411,Karaton,ID,-6.34,106.1,91.0,70,40,13.87,scattered clouds
412,Tsumeb,NA,-19.23,17.72,76.35,63,100,10.11,overcast clouds
413,Comodoro Rivadavia,AR,-45.87,-67.5,57.2,93,40,6.93,mist
414,Komsomolskiy,UZ,40.43,71.72,32.0,85,90,2.24,mist
415,Camrose,CA,53.02,-112.84,15.01,72,0,10.0,clear sky
416,Ulaangom,MN,49.98,92.07,-17.79,86,99,2.73,overcast clouds
417,Westport,US,41.14,-73.36,39.99,61,0,12.64,clear sky
418,Boyolangu,ID,-8.12,111.89,80.78,81,100,8.05,overcast clouds
419,Santa Isabel,BR,-23.32,-46.22,68.0,100,20,3.36,few clouds
420,Ermelo,ZA,-26.53,29.98,84.09,37,0,5.06,clear sky
421,Xihe,CN,31.69,113.47,36.88,77,100,20.78,light rain
422,Lata,PT,40.16,-8.33,48.99,94,90,1.99,overcast clouds
423,Zeya,RU,53.75,127.27,-15.12,82,1,1.66,clear sky
424,Ongandjera,NA,-17.88,15.07,70.16,67,100,5.3,light rain
425,Port Moresby,PG,-9.44,147.18,86.0,74,75,13.87,broken clouds
426,Khandyga,RU,62.67,135.6,-51.11,76,53,0.58,broken clouds
427,Amga,RU,60.9,131.96,-44.03,77,81,0.83,broken clouds
428,Kenai,US,60.55,-151.26,28.4,92,20,3.36,few clouds
429,Khartoum,SD,15.55,32.53,75.2,38,0,11.41,clear sky
430,Nishiwaki,JP,34.98,134.97,55.4,54,0,4.7,clear sky
431,Sao Joao Da Barra,BR,-21.64,-41.05,74.44,86,89,14.54,overcast clouds
432,Havre-Saint-Pierre,CA,50.23,-63.6,33.8,100,90,10.29,light rain
433,Sokol,RU,59.46,40.12,3.18,93,68,7.65,broken clouds
434,Gat,IL,31.61,34.76,64.0,55,0,1.99,clear sky
435,Beyneu,KZ,45.32,55.2,32.29,84,0,6.26,clear sky
436,Punahana,IN,27.87,77.2,61.0,4,0,9.95,clear sky
437,Wentzville,US,38.81,-90.85,27.0,85,35,5.44,scattered clouds
438,Carmelo,UY,-33.99,-58.29,75.2,78,0,5.82,clear sky
439,Jefferson City,US,38.58,-92.17,32.0,92,90,3.36,overcast clouds
440,Hue,VN,16.47,107.6,80.6,65,20,10.29,few clouds
441,Luderitz,NA,-26.65,15.16,66.2,68,100,2.24,overcast clouds
442,San Matias,BO,-16.37,-58.4,74.55,82,100,3.65,overcast clouds
443,Ponta Delgada,PT,37.73,-25.67,53.6,81,75,9.17,broken clouds
444,Gondanglegi,ID,-7.75,112.01,79.45,86,100,4.43,light rain
445,Praia Da Vitoria,PT,38.73,-27.07,55.4,87,90,15.86,overcast clouds
446,Diffa,NE,13.32,12.61,73.58,20,6,10.18,clear sky
447,Meadow Lake,US,34.8,-106.54,42.8,38,75,10.29,broken clouds
448,Swan Hill,AU,-35.34,143.55,81.43,23,0,13.78,clear sky
449,Yulara,AU,-25.24,130.99,93.2,12,0,8.05,clear sky
450,Koumac,NC,-20.57,164.28,82.02,75,19,2.93,few clouds
451,Peniche,PT,39.36,-9.38,52.0,79,92,7.0,overcast clouds
452,Buraydah,SA,26.33,43.98,60.8,77,75,5.82,broken clouds
453,Rock Springs,US,41.59,-109.2,17.6,85,90,3.36,overcast clouds
454,Bartica,GY,6.4,-58.62,75.2,100,75,2.24,mist
455,Zemio,CF,5.03,25.14,87.91,26,80,5.17,broken clouds
456,Cockburn Town,TC,21.46,-71.14,76.59,77,100,22.1,overcast clouds
457,Tolbazy,RU,54.02,55.88,17.6,78,90,8.95,snow
458,Roseburg,US,43.22,-123.34,33.01,92,90,3.36,mist
459,Jatiroto,ID,-7.88,111.12,81.05,76,95,9.46,light rain
460,Harper,LR,4.38,-7.72,79.68,83,2,5.37,light rain
461,Port Dickson,MY,2.52,101.8,87.8,66,40,4.7,light rain
462,Nioki,CD,-2.72,17.68,79.7,84,100,1.68,moderate rain
463,Jacareacanga,BR,-6.22,-57.75,72.43,97,100,0.78,heavy intensity rain
464,Pondicherry,IN,11.93,79.83,78.8,83,90,5.82,haze
465,Litovko,RU,49.24,135.17,-10.3,61,0,4.63,clear sky
466,Natchez,US,31.56,-91.4,55.4,93,1,4.81,clear sky
467,Kawai,JP,34.23,135.85,55.4,54,40,2.24,scattered clouds
